DEMAND_DATE,CALAMARI,FISCH,GARNELEN,HAEHNCHEN,KOEFTE,LAMM,STEAK,TOTAL_FISCHPROD,TOTAL_FLEISCH,TOTAL,CALAMARI_DEMAND_T7
11/12/2013,4,10,12,29,13,35,20,26,97,123,2
12/12/2013,3,3,9,21,30,27,23,15,101,116,7
13/12/2013,5,8,10,28,18,36,26,23,108,131,9
14/12/2013,6,16,12,58,44,40,38,34,180,214,11
15/12/2013,4,0,6,10,11,18,13,10,52,62,4
16/12/2013,2,1,3,32,14,20,30,6,96,102,3
17/12/2013,4,5,9,31,24,28,33,18,116,134,5
18/12/2013,1,11,12,28,24,25,18,24,95,119,4
19/12/2013,7,3,15,43,11,34,30,25,118,143,3
20/12/2013,7,4,11,32,38,57,30,22,157,179,5
21/12/2013,3,7,12,42,25,29,37,22,133,155,6
22/12/2013,4,4,10,17,5,13,25,18,60,78,4
23/12/2013,6,6,11,42,42,46,53,23,183,206,2
24/12/2013,1,3,1,3,4,7,5,5,19,24,4
26/12/2013,4,0,3,12,2,16,18,7,48,55,1
27/12/2013,11,5,12,54,34,44,44,28,176,204,7
28/12/2013,7,5,17,52,31,40,40,29,163,192,7
29/12/2013,6,5,4,27,10,18,19,15,74,89,3
30/12/2013,8,7,16,62,38,48,42,31,190,221,4
31/12/2013,3,2,1,11,5,9,8,6,33,39,6
01/01/2014,0,4,1,21,13,13,10,5,57,62,1
02/01/2014,7,6,16,45,30,37,35,29,147,176,4
03/01/2014,8,9,11,46,33,46,35,28,160,188,11
04/01/2014,4,6,10,45,26,26,43,20,140,160,7
05/01/2014,2,5,7,26,27,34,20,14,107,121,6
06/01/2014,2,3,5,25,19,38,32,10,114,124,8
07/01/2014,8,2,7,31,19,16,19,17,85,102,3
08/01/2014,4,7,9,26,16,23,21,20,86,106,0
09/01/2014,5,4,7,31,21,34,27,16,113,129,7
10/01/2014,12,3,9,37,27,34,24,24,122,146,8
11/01/2014,11,7,18,55,52,57,43,36,207,243,4
12/01/2014,2,1,10,28,14,12,13,13,67,80,2
13/01/2014,2,5,13,26,15,25,17,20,83,103,2
14/01/2014,11,3,10,39,17,28,27,24,111,135,8
15/01/2014,9,5,5,37,25,43,29,19,134,153,4
16/01/2014,4,9,12,24,24,36,30,25,114,139,5
17/01/2014,9,9,11,36,19,39,29,29,123,152,12
18/01/2014,10,11,16,61,58,66,42,37,227,264,11
19/01/2014,2,4,4,30,10,30,12,10,82,92,2
20/01/2014,2,1,1,20,16,22,14,4,72,76,2
21/01/2014,6,3,8,29,19,19,19,17,86,103,11
22/01/2014,8,10,11,35,23,45,23,29,126,155,9
23/01/2014,6,5,10,26,17,15,23,21,81,102,4
24/01/2014,6,8,8,27,19,21,21,22,88,110,9
25/01/2014,7,4,10,51,33,64,48,21,196,217,10
26/01/2014,4,6,7,32,13,24,32,17,101,118,2
27/01/2014,1,5,3,14,10,14,11,9,49,58,2
28/01/2014,3,2,3,30,17,31,16,8,94,102,6
29/01/2014,24,4,12,31,18,29,22,40,100,140,8
30/01/2014,8,11,16,33,23,36,29,35,121,156,6
31/01/2014,4,6,14,30,20,27,27,24,104,128,6
01/02/2014,6,10,16,45,44,67,48,32,204,236,7
02/02/2014,0,1,12,17,11,23,24,13,75,88,4
03/02/2014,0,4,8,16,11,16,16,12,59,71,1
04/02/2014,2,5,12,24,20,27,27,19,98,117,3
05/02/2014,1,3,11,26,28,35,22,15,111,126,24
06/02/2014,4,2,9,23,24,22,24,15,93,108,8
07/02/2014,5,7,17,29,31,47,24,29,131,160,4
08/02/2014,10,5,11,56,34,38,37,26,165,191,6
09/02/2014,5,6,5,27,17,17,23,16,84,100,0
10/02/2014,2,3,1,28,16,13,23,6,80,86,0
11/02/2014,5,3,8,31,19,25,26,16,101,117,2
12/02/2014,4,6,4,29,13,14,24,14,80,94,1
13/02/2014,4,1,5,21,15,22,29,10,87,97,4
14/02/2014,14,7,14,52,31,42,44,35,169,204,5
15/02/2014,6,6,16,59,22,48,37,28,166,194,10
16/02/2014,3,6,7,24,11,10,16,16,61,77,5
17/02/2014,1,2,9,15,16,28,18,12,77,89,2
18/02/2014,1,8,5,26,21,29,13,14,89,103,5
19/02/2014,5,5,8,18,24,14,23,18,79,97,4
20/02/2014,3,2,10,31,22,23,19,15,95,110,4
21/02/2014,2,7,8,25,26,32,29,17,112,129,14
22/02/2014,14,2,17,43,33,47,37,33,160,193,6
23/02/2014,7,6,8,22,17,27,22,21,88,109,3
24/02/2014,4,2,12,24,19,17,21,18,81,99,1
25/02/2014,6,4,12,38,23,31,19,22,111,133,1
26/02/2014,5,6,7,22,25,25,17,18,89,107,5
27/02/2014,4,3,10,40,23,28,26,17,117,134,3
28/02/2014,4,11,12,31,20,36,34,27,121,148,2
01/03/2014,8,7,18,51,42,51,41,33,185,218,14
02/03/2014,4,3,9,19,19,26,15,16,79,95,7
03/03/2014,0,3,10,31,18,12,12,13,73,86,4
04/03/2014,3,0,3,22,15,24,15,6,76,82,6
05/03/2014,3,9,9,27,27,27,29,21,110,131,5
06/03/2014,7,3,14,28,30,35,26,24,119,143,4
07/03/2014,5,5,15,44,23,31,31,25,129,154,4
08/03/2014,9,8,12,34,33,40,30,29,137,166,8
09/03/2014,6,5,7,31,20,20,22,18,93,111,4
10/03/2014,1,4,11,18,16,12,16,16,62,78,0
11/03/2014,5,1,5,24,14,23,18,11,79,90,3
12/03/2014,4,4,5,21,20,20,17,13,78,91,3
13/03/2014,8,0,1,25,31,24,17,9,97,106,7
14/03/2014,6,3,8,31,39,38,19,17,127,144,5
15/03/2014,10,7,12,51,33,52,44,29,180,209,9
16/03/2014,4,5,9,32,18,19,14,18,83,101,6
17/03/2014,4,2,4,18,20,23,12,10,73,83,1
18/03/2014,6,3,6,29,19,26,23,15,97,112,5
19/03/2014,1,4,6,25,23,30,19,11,97,108,4
20/03/2014,8,3,15,36,22,25,20,26,103,129,8
21/03/2014,7,9,7,31,25,38,30,23,124,147,6
22/03/2014,4,7,12,39,26,38,45,23,148,171,10
23/03/2014,4,4,6,22,13,26,17,14,78,92,4
24/03/2014,0,2,6,16,13,8,6,8,43,51,4
25/03/2014,5,1,6,24,23,28,21,12,96,108,6
26/03/2014,4,5,14,27,19,38,19,23,103,126,1
27/03/2014,4,5,7,27,19,29,15,16,90,106,8
28/03/2014,4,6,11,35,25,35,30,21,125,146,7
29/03/2014,11,7,16,51,30,56,44,34,181,215,4
30/03/2014,6,1,4,21,12,13,11,11,57,68,4
31/03/2014,2,9,9,20,21,23,21,20,85,105,0
01/04/2014,9,4,5,16,22,17,21,18,76,94,5
02/04/2014,1,3,14,36,16,23,22,18,97,115,4
03/04/2014,10,6,16,36,21,25,17,32,99,131,4
04/04/2014,5,5,13,20,19,34,18,23,91,114,4
05/04/2014,13,13,27,56,49,63,60,53,228,281,11
06/04/2014,2,0,4,26,15,21,16,6,78,84,6
07/04/2014,4,2,11,14,19,15,9,17,57,74,2
08/04/2014,4,5,6,17,15,30,19,15,81,96,9
09/04/2014,2,3,7,40,23,28,28,12,119,131,1
10/04/2014,1,2,13,45,22,27,28,16,122,138,10
11/04/2014,9,6,13,37,27,59,28,28,151,179,5
12/04/2014,2,7,14,47,31,45,31,23,154,177,13
13/04/2014,7,3,9,16,16,25,12,19,69,88,2
14/04/2014,3,8,10,17,23,19,18,21,77,98,4
15/04/2014,6,1,4,25,18,28,14,11,85,96,4
16/04/2014,10,7,12,39,22,33,27,29,121,150,2
17/04/2014,5,7,18,24,21,21,18,30,84,114,1
18/04/2014,1,3,11,13,9,14,12,15,48,63,9
19/04/2014,5,4,11,41,21,44,26,20,132,152,2
20/04/2014,2,2,5,17,7,14,11,9,49,58,7
21/04/2014,2,6,6,12,11,17,9,14,49,63,3
22/04/2014,5,7,5,23,16,22,25,17,86,103,6
23/04/2014,7,3,10,26,19,15,18,20,78,98,10
24/04/2014,2,4,11,19,17,24,16,17,76,93,5
25/04/2014,3,6,18,36,18,16,39,27,109,136,1
26/04/2014,5,3,23,39,31,43,27,31,140,171,5
27/04/2014,8,4,4,19,10,13,16,16,58,74,2
28/04/2014,3,4,11,18,18,19,12,18,67,85,2
29/04/2014,3,5,10,27,24,22,13,18,86,104,5
30/04/2014,5,5,12,26,24,41,22,22,113,135,7
01/05/2014,8,6,11,26,27,34,27,25,114,139,2
02/05/2014,8,7,17,37,48,45,49,32,179,211,3
03/05/2014,8,7,15,50,29,55,40,30,174,204,5
04/05/2014,5,3,6,17,25,24,15,14,81,95,8
05/05/2014,3,4,3,19,10,24,11,10,64,74,3
06/05/2014,5,2,9,21,15,27,19,16,82,98,3
07/05/2014,6,5,6,29,18,33,29,17,109,126,5
08/05/2014,2,4,13,17,22,29,8,19,76,95,8
09/05/2014,4,2,9,19,30,34,24,15,107,122,8
10/05/2014,8,5,16,38,43,43,22,29,146,175,8
11/05/2014,4,2,3,9,8,18,14,9,49,58,5
12/05/2014,1,3,11,17,28,14,19,15,78,93,3
13/05/2014,5,6,9,32,23,29,28,20,112,132,5
14/05/2014,2,0,7,23,30,28,21,9,102,111,6
15/05/2014,1,6,15,40,28,36,21,22,125,147,2
16/05/2014,12,9,14,27,28,43,21,35,119,154,4
17/05/2014,5,8,20,36,35,39,32,33,142,175,8
18/05/2014,3,2,4,8,7,11,18,9,44,53,4
19/05/2014,2,4,7,23,14,17,20,13,74,87,1
20/05/2014,3,3,10,29,23,26,19,16,97,113,5
21/05/2014,5,6,13,32,19,27,23,24,101,125,2
22/05/2014,3,5,15,26,23,30,21,23,100,123,1
23/05/2014,7,9,10,25,28,28,16,26,97,123,12
24/05/2014,3,4,11,42,26,37,28,18,133,151,5
25/05/2014,4,2,2,12,9,15,14,8,50,58,3
26/05/2014,5,4,11,15,28,24,16,20,83,103,2
27/05/2014,1,5,6,30,24,29,24,12,107,119,3
28/05/2014,3,6,9,29,14,30,23,18,96,114,5
29/05/2014,6,4,16,31,19,45,22,26,117,143,3
30/05/2014,5,7,7,55,44,48,33,19,180,199,7
31/05/2014,5,6,16,38,30,39,27,27,134,161,3
01/06/2014,2,2,11,21,9,22,17,15,69,84,4
02/06/2014,3,7,10,18,17,16,16,20,67,87,5
03/06/2014,5,2,8,23,25,33,26,15,107,122,1
04/06/2014,7,9,5,25,21,17,21,21,84,105,3
05/06/2014,3,4,3,18,25,21,18,10,82,92,6
06/06/2014,0,9,10,32,27,32,16,19,107,126,5
07/06/2014,6,5,8,25,20,33,17,19,95,114,5
08/06/2014,4,5,8,7,11,17,6,17,41,58,2
09/06/2014,3,0,5,8,9,11,9,8,37,45,3
10/06/2014,3,1,8,19,13,15,15,12,62,74,5
11/06/2014,2,4,9,26,8,27,23,15,84,99,7
12/06/2014,3,2,8,24,23,23,11,13,81,94,3
13/06/2014,5,4,15,31,17,32,22,24,102,126,0
14/06/2014,9,4,12,37,22,22,27,25,108,133,6
15/06/2014,1,1,4,9,10,10,11,6,40,46,4
16/06/2014,1,7,4,26,19,20,21,12,86,98,3
17/06/2014,2,4,8,27,22,17,22,14,88,102,3
18/06/2014,5,5,11,27,24,24,24,21,99,120,2
19/06/2014,5,8,1,29,16,17,16,14,78,92,3
20/06/2014,1,5,10,29,33,34,22,16,118,134,5
21/06/2014,6,5,14,48,25,25,27,25,125,150,9
22/06/2014,2,3,5,11,8,21,16,10,56,66,1
23/06/2014,2,4,7,25,15,23,19,13,82,95,1
24/06/2014,4,1,7,18,26,19,20,12,83,95,2
25/06/2014,11,11,11,24,18,24,22,33,88,121,5
26/06/2014,6,6,17,46,41,30,28,29,145,174,5
27/06/2014,7,6,10,33,27,34,21,23,115,138,1
28/06/2014,9,4,21,41,25,32,44,34,142,176,6
29/06/2014,2,2,7,25,18,23,24,11,90,101,2
30/06/2014,4,2,9,25,18,19,26,15,88,103,2
01/07/2014,3,3,15,17,13,39,17,21,86,107,4
02/07/2014,3,2,6,22,17,21,20,11,80,91,11
03/07/2014,3,2,7,23,17,20,11,12,71,83,6
04/07/2014,8,6,11,57,17,30,24,25,128,153,7
05/07/2014,14,3,15,51,37,20,27,32,135,167,9
06/07/2014,1,0,2,11,15,13,20,3,59,62,2
07/07/2014,3,7,14,30,17,22,17,24,86,110,4
08/07/2014,5,4,8,28,19,46,24,17,117,134,3
09/07/2014,8,5,11,17,17,22,17,24,73,97,3
10/07/2014,4,7,11,26,20,37,28,22,111,133,3
11/07/2014,7,7,22,26,22,37,28,36,113,149,8
12/07/2014,6,8,14,52,29,36,31,28,148,176,14
13/07/2014,4,5,10,42,27,30,29,19,128,147,1
14/07/2014,2,7,13,28,18,21,14,22,81,103,3
15/07/2014,5,2,4,15,17,14,15,11,61,72,5
16/07/2014,2,7,5,26,16,29,21,14,92,106,8
17/07/2014,6,1,15,32,13,31,22,22,98,120,4
18/07/2014,4,4,7,20,20,22,25,15,87,102,7
19/07/2014,1,2,8,32,16,35,30,11,113,124,6
20/07/2014,1,2,7,15,12,30,21,10,78,88,4
21/07/2014,9,4,13,22,15,27,22,26,86,112,2
22/07/2014,1,4,6,28,27,31,33,11,119,130,5
23/07/2014,4,11,15,27,23,23,12,30,85,115,2
24/07/2014,4,5,8,19,25,20,17,17,81,98,6
25/07/2014,5,5,15,31,21,30,24,25,106,131,4
26/07/2014,7,5,11,44,27,47,32,23,150,173,1
27/07/2014,7,3,10,18,18,25,14,20,75,95,1
28/07/2014,1,7,19,35,30,32,9,27,106,133,9
29/07/2014,2,6,5,37,17,25,17,13,96,109,1
30/07/2014,7,2,15,41,26,44,29,24,140,164,4
31/07/2014,3,2,17,21,25,20,18,22,84,106,4
01/08/2014,8,9,12,26,24,31,17,29,98,127,5
02/08/2014,5,4,11,38,22,40,19,20,119,139,7
03/08/2014,4,6,8,25,18,18,15,18,76,94,7
04/08/2014,6,7,7,25,15,29,19,20,88,108,1
05/08/2014,4,5,14,28,33,35,28,23,124,147,2
06/08/2014,8,2,8,38,26,38,26,18,128,146,7
07/08/2014,3,10,5,17,29,40,25,18,111,129,3
08/08/2014,8,2,13,40,24,38,20,23,122,145,8
09/08/2014,6,5,9,46,32,46,28,20,152,172,5
10/08/2014,3,5,3,19,16,19,20,11,74,85,4
11/08/2014,4,1,13,33,21,26,13,18,93,111,6
12/08/2014,2,2,9,24,27,47,20,13,118,131,4
13/08/2014,3,7,9,34,24,21,20,19,99,118,8
14/08/2014,3,3,9,25,16,30,24,15,95,110,3
15/08/2014,2,5,7,26,36,43,32,14,137,151,8
16/08/2014,6,6,4,47,33,45,32,16,157,173,6
17/08/2014,3,6,7,23,22,28,1,16,74,90,3
18/08/2014,4,3,8,20,17,24,15,15,76,91,4
19/08/2014,6,4,7,22,15,47,22,17,106,123,2
20/08/2014,7,7,14,41,33,27,24,28,125,153,3
21/08/2014,4,7,15,31,29,34,21,26,115,141,3
22/08/2014,4,4,14,19,26,24,18,22,87,109,2
23/08/2014,8,6,17,57,43,54,34,31,188,219,6
24/08/2014,1,1,5,19,10,20,7,7,56,63,3
25/08/2014,3,5,8,22,15,31,24,16,92,108,4
26/08/2014,5,8,3,32,21,25,22,16,100,116,6
27/08/2014,8,10,5,23,25,30,21,23,99,122,7
28/08/2014,1,6,10,22,21,19,28,17,90,107,4
29/08/2014,6,3,10,36,38,47,25,19,146,165,4
30/08/2014,3,2,12,40,21,43,23,17,127,144,8
31/08/2014,2,8,6,11,4,13,11,16,39,55,1
01/09/2014,1,0,10,26,27,25,14,11,92,103,3
02/09/2014,3,3,11,32,26,40,21,17,119,136,5
03/09/2014,3,4,10,17,24,31,11,17,83,100,8
04/09/2014,6,4,9,28,32,30,21,19,111,130,1
05/09/2014,4,3,9,32,24,24,19,16,99,115,6
06/09/2014,2,4,6,27,24,29,16,12,96,108,3
07/09/2014,6,3,4,16,12,17,22,13,67,80,2
08/09/2014,3,5,9,29,23,21,20,17,93,110,1
09/09/2014,2,9,8,28,17,34,10,19,89,108,3
10/09/2014,4,6,22,36,30,32,31,32,129,161,3
11/09/2014,4,8,6,30,23,25,13,18,91,109,6
12/09/2014,1,4,5,19,25,40,19,10,103,113,4
13/09/2014,4,6,17,45,28,52,28,27,153,180,2
14/09/2014,3,8,10,13,12,16,14,21,55,76,6
15/09/2014,2,2,9,22,10,14,20,13,66,79,3
16/09/2014,5,4,13,26,20,14,9,22,69,91,2
17/09/2014,2,5,9,28,20,22,20,16,90,106,4
18/09/2014,9,0,8,37,20,27,16,17,100,117,4
19/09/2014,3,3,14,40,29,30,25,20,124,144,1
20/09/2014,8,3,8,43,25,43,28,19,139,158,4
21/09/2014,3,1,2,16,7,11,19,6,53,59,3
22/09/2014,7,6,8,26,13,20,11,21,70,91,2
23/09/2014,3,0,11,24,23,22,18,14,87,101,5
24/09/2014,2,6,6,34,23,32,21,14,110,124,2
25/09/2014,4,5,11,32,23,32,16,20,103,123,9
26/09/2014,5,4,14,37,33,36,23,23,129,152,3
27/09/2014,8,4,10,27,30,29,22,22,108,130,8
28/09/2014,1,3,5,14,17,12,14,9,57,66,3
29/09/2014,0,5,17,18,30,25,17,22,90,112,7
30/09/2014,2,5,5,20,29,26,20,12,95,107,3
01/10/2014,2,5,8,35,16,18,17,15,86,101,2
02/10/2014,5,5,7,39,30,30,16,17,115,132,4
03/10/2014,3,5,9,30,16,33,25,17,104,121,5
04/10/2014,5,1,15,35,20,38,26,21,119,140,8
05/10/2014,0,1,4,18,20,17,12,5,67,72,1
06/10/2014,7,3,10,22,21,17,19,20,79,99,0
07/10/2014,3,8,8,24,9,26,20,19,79,98,2
08/10/2014,4,2,3,20,18,25,17,9,80,89,2
09/10/2014,3,7,3,32,28,24,11,13,95,108,5
10/10/2014,4,6,11,30,23,33,14,21,100,121,3
11/10/2014,4,6,12,46,41,49,32,22,168,190,5
12/10/2014,2,6,3,23,18,25,18,11,84,95,0
13/10/2014,2,3,5,14,20,13,7,10,54,64,7
14/10/2014,2,6,9,18,12,16,13,17,59,76,3
15/10/2014,1,3,1,18,11,12,9,5,50,55,4
16/10/2014,3,2,8,29,22,27,25,13,103,116,3
17/10/2014,8,3,16,26,17,26,20,27,89,116,4
18/10/2014,4,4,15,36,33,52,36,23,157,180,4
19/10/2014,4,4,4,19,16,16,15,12,66,78,2
20/10/2014,6,4,5,20,20,31,25,15,96,111,2
21/10/2014,3,6,8,24,25,14,12,17,75,92,2
22/10/2014,2,4,3,25,17,30,18,9,90,99,1
23/10/2014,2,1,3,17,17,28,21,6,83,89,3
24/10/2014,3,7,10,39,30,39,29,20,137,157,8
25/10/2014,8,2,14,37,47,48,49,24,181,205,4
26/10/2014,5,2,6,11,20,12,16,13,59,72,4
27/10/2014,4,5,8,9,12,11,14,17,46,63,6
28/10/2014,4,4,5,42,23,29,18,13,112,125,3
29/10/2014,2,2,4,17,20,22,12,8,71,79,2
30/10/2014,4,2,10,36,32,25,19,16,112,128,2
31/10/2014,6,7,6,37,27,46,24,19,134,153,3
01/11/2014,5,3,11,52,34,40,32,19,158,177,8
02/11/2014,1,3,4,19,9,33,13,8,74,82,5
03/11/2014,1,5,13,29,24,28,24,19,105,124,4
04/11/2014,5,6,7,28,25,26,21,18,100,118,4
05/11/2014,3,3,7,35,17,31,16,13,99,112,2
06/11/2014,6,5,12,21,24,34,24,23,103,126,4
07/11/2014,5,3,11,32,33,44,26,19,135,154,6
08/11/2014,9,9,20,51,65,76,62,38,254,292,5
09/11/2014,0,1,8,19,17,2,23,9,61,70,1
10/11/2014,2,0,7,19,15,23,15,9,72,81,1
11/11/2014,4,7,4,22,20,17,22,15,81,96,5
12/11/2014,13,3,5,28,38,39,19,21,124,145,3
13/11/2014,3,1,12,28,32,25,15,16,100,116,6
14/11/2014,1,4,6,31,32,36,26,11,125,136,5
15/11/2014,8,11,19,54,46,57,56,38,213,251,9
16/11/2014,2,2,8,25,11,41,12,12,89,101,0
17/11/2014,3,6,7,23,16,24,20,16,83,99,2
18/11/2014,4,2,7,30,22,39,17,13,108,121,4
19/11/2014,8,6,11,36,39,36,28,25,139,164,13
20/11/2014,2,6,7,25,30,27,22,15,104,119,3
21/11/2014,3,8,13,42,17,29,32,24,120,144,1
22/11/2014,6,8,12,62,49,70,59,26,240,266,8
23/11/2014,1,5,7,26,16,20,19,13,81,94,2
24/11/2014,0,7,8,18,14,30,15,15,77,92,3
25/11/2014,1,6,10,22,25,30,19,17,96,113,4
26/11/2014,1,7,4,40,23,17,13,12,93,105,8
27/11/2014,1,3,6,16,23,36,13,10,88,98,2
28/11/2014,4,6,8,37,36,33,25,18,131,149,3
29/11/2014,14,10,18,40,44,64,45,42,193,235,6
30/11/2014,3,3,10,17,11,25,14,16,67,83,1
01/12/2014,1,2,8,19,11,23,15,11,68,79,0
02/12/2014,3,5,5,22,12,24,19,13,77,90,1
03/12/2014,4,4,10,37,20,41,29,18,127,145,1
04/12/2014,3,5,10,24,23,34,15,18,96,114,1
05/12/2014,3,4,9,38,29,30,29,16,126,142,4
06/12/2014,11,13,11,27,37,45,37,35,146,181,14
07/12/2014,2,3,10,25,12,20,7,15,64,79,3
08/12/2014,0,2,7,19,20,20,19,9,78,87,1
09/12/2014,4,6,12,34,19,39,22,22,114,136,3
10/12/2014,6,3,5,29,23,21,18,14,91,105,4
11/12/2014,1,10,13,24,23,34,26,24,107,131,3
12/12/2014,8,7,11,35,20,26,27,26,108,134,3
13/12/2014,13,8,18,60,56,87,82,39,285,324,11
14/12/2014,2,1,3,21,10,21,12,6,64,70,2
15/12/2014,0,4,9,22,20,25,19,13,86,99,0
16/12/2014,3,5,10,26,20,22,19,18,87,105,4
17/12/2014,4,5,12,14,23,33,26,21,96,117,6
18/12/2014,6,3,11,32,19,51,16,20,118,138,1
19/12/2014,7,4,16,34,20,43,28,27,125,152,8
20/12/2014,6,8,13,30,27,43,38,27,138,165,13
21/12/2014,3,2,9,21,10,14,5,14,50,64,2
22/12/2014,6,3,8,33,36,56,32,17,157,174,0
23/12/2014,4,2,5,18,23,28,14,11,83,94,3
27/12/2014,0,4,7,28,24,38,25,11,115,126,4
28/12/2014,5,3,4,15,7,12,9,12,43,55,6
29/12/2014,6,4,12,29,14,37,30,22,110,132,7
30/12/2014,6,3,4,33,22,35,22,13,112,125,6
01/01/2015,2,5,2,5,20,18,11,9,54,63,3
02/01/2015,2,3,12,31,37,39,28,17,135,152,6
03/01/2015,8,0,7,43,33,36,31,15,143,158,4
04/01/2015,4,2,6,20,25,14,11,12,70,82,0
05/01/2015,9,7,15,46,47,44,35,31,172,203,5
06/01/2015,2,7,10,24,18,28,17,19,87,106,6
07/01/2015,4,6,16,26,26,23,15,26,90,116,6
08/01/2015,2,2,6,24,13,23,12,10,72,82,2
09/01/2015,2,3,8,33,21,28,17,13,99,112,2
10/01/2015,8,12,17,47,34,52,50,37,183,220,8
11/01/2015,2,1,13,18,16,29,18,16,81,97,4
12/01/2015,3,1,9,15,14,18,18,13,65,78,9
13/01/2015,2,1,11,17,27,28,23,14,95,109,2
14/01/2015,7,4,10,32,24,28,20,21,104,125,4
15/01/2015,5,7,8,27,22,32,21,20,102,122,2
16/01/2015,7,5,9,36,24,45,18,21,123,144,2
17/01/2015,9,12,12,31,31,56,27,33,145,178,8
18/01/2015,5,4,5,15,17,26,3,14,61,75,2
19/01/2015,1,1,7,27,22,31,14,9,94,103,3
20/01/2015,0,8,4,14,24,33,14,12,85,97,2
21/01/2015,3,2,12,18,30,45,19,17,112,129,7
22/01/2015,0,2,10,18,18,37,24,12,97,109,5
23/01/2015,2,7,8,26,19,29,32,17,106,123,7
24/01/2015,8,9,16,50,33,49,33,33,165,198,9
25/01/2015,5,7,6,20,17,26,18,18,81,99,5
26/01/2015,0,6,4,17,19,24,14,10,74,84,1
